RowId+30:30AA141:261:42AA141:261:54AA141:261:661:26,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,ClassID,TopicID,QuestionID,ResponseID,LocationID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3,Report
BRFSS~2016~2016~09~Q35~TOC03~AGE~OVERALL,2016,2016,CT,Connecticut,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,,Number,MEAN,Mean,6.2,6.2,,,5.6,6.8,,Age Group,50-64 years,,,,,POINT (-72.64984095199964 41.56266102000046),C01,TOC03,Q35,,9,AGE,5064,OVERALL,OVERALL,,,
BRFSS~2021~2021~49~Q43~TOC11~AGE~GENDER,2021,2021,UT,Utah,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,35.6,35.6,,,32.3,39,,Age Group,50-64 years,Gender,Female,,,POINT (-111.58713063499971 39.360700171000474),C01,TOC11,Q43,,49,AGE,5064,GENDER,FEMALE,,,
BRFSS~2020~2020~32~Q43~TOC11~AGE~OVERALL,2020,2020,NV,Nevada,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,33.9,33.9,,,28.7,39.4,,Age Group,50-64 years,,,,,POINT (-117.07184056399967 39.493240390000494),C01,TOC11,Q43,,32,AGE,5064,OVERALL,OVERALL,,,
BRFSS~2020~2020~50~Q27~TMC03~AGE~OVERALL,2020,2020,VT,Vermont,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,19.9,19.9,,,18.4,21.5,,Age Group,Overall,,,,,POINT (-72.51764079099962 43.62538123900049),C05,TMC03,Q27,,50,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
BRFSS~2021~2021~06~Q43~TOC11~AGE~OVERALL,2021,2021,CA,California,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,36.1,36.1,,,33.8,38.4,,Age Group,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),C01,TOC11,Q43,,6,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
BRFSS~2021~2021~18~Q03~TMC01~AGE~GENDER,2021,2021,IN,Indiana,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,8.5,8.5,,,7,10.2,,Age Group,65 years or older,Gender,Female,,,POINT (-86.14996019399968 39.766910452000445),C05,TMC01,Q03,,18,AGE,65PLUS,GENDER,FEMALE,,,
BRFSS~2020~2020~9003~Q27~TMC03~AGE~RACE,2020,2020,SOU,South,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,14.1,14.1,,,8.6,22.2,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,,,,C05,TMC03,Q27,,9003,AGE,5064,RACE,ASN,,,
BRFSS~2020~2020~72~Q43~TOC11~AGE~GENDER,2020,2020,PR,Puerto Rico,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,33.8,33.8,,,26.4,42.1,,Age Group,65 years or older,Gender,Male,,,POINT (-66.590149 18.220833),C01,TOC11,Q43,,72,AGE,65PLUS,GENDER,MALE,,,
BRFSS~2017~2017~16~Q43~TOC11~AGE~OVERALL,2017,2017,ID,Idaho,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,42,42,,,39.7,44.3,,Age Group,Overall,,,,,POINT (-114.3637300419997 43.682630005000476),C01,TOC11,Q43,,16,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
BRFSS~2021~2021~53~Q43~TOC11~AGE~RACE,2021,2021,WA,Washington,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,28,28,,,22.8,33.8,,Age Group,Overall,Race/Ethnicity,Hispanic,,,POINT (-120.47001078999972 47.52227862900048),C01,TOC11,Q43,,53,AGE,AGE_OVERALL,RACE,HIS,,,
BRFSS~2020~2020~39~Q43~TOC11~AGE~GENDER,2020,2020,OH,Ohio,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,40.6,40.6,,,37.8,43.5,,Age Group,50-64 years,Gender,Female,,,POINT (-82.40426005599966 40.06021014100048),C01,TOC11,Q43,,39,AGE,5064,GENDER,FEMALE,,,
BRFSS~2020~2020~56~Q43~TOC11~AGE~RACE,2020,2020,WY,Wyoming,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,40.3,40.3,,,26.2,56.1,,Age Group,50-64 years,Race/Ethnicity,Hispanic,,,POINT (-108.10983035299967 43.23554134300048),C01,TOC11,Q43,,56,AGE,5064,RACE,HIS,,,
BRFSS~2015~2015~66~Q43~TOC11~AGE~GENDER,2015,2015,GU,Guam,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,28.4,28.4,,,20.5,37.8,,Age Group,50-64 years,Gender,Female,,,POINT (144.793731 13.444304),C01,TOC11,Q43,,66,AGE,5064,GENDER,FEMALE,,,
BRFSS~2015~2015~9002~Q43~TOC11~AGE~RACE,2015,2015,MDW,Midwest,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,44.1,44.1,,,41.2,47,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",,,,C01,TOC11,Q43,,9002,AGE,AGE_OVERALL,RACE,BLK,,,
BRFSS~2016~2016~12~Q27~TMC03~AGE~OVERALL,2016,2016,FL,Florida,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,17.7,17.7,,,16.2,19.4,,Age Group,50-64 years,,,,,POINT (-81.92896053899966 28.932040377000476),C05,TMC03,Q27,,12,AGE,5064,OVERALL,OVERALL,,,
BRFSS~2015~2015~16~Q27~TMC03~AGE~GENDER,2015,2015,ID,Idaho,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,16,16,,,12.7,19.9,,Age Group,50-64 years,Gender,Male,,,POINT (-114.3637300419997 43.682630005000476),C05,TMC03,Q27,,16,AGE,5064,GENDER,MALE,,,
BRFSS~2015~2015~18~Q43~TOC11~AGE~OVERALL,2015,2015,IN,Indiana,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,45.7,45.7,,,43.7,47.8,,Age Group,Overall,,,,,POINT (-86.14996019399968 39.766910452000445),C01,TOC11,Q43,,18,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
BRFSS~2019~2019~23~Q27~TMC03~AGE~GENDER,2019,2019,ME,Maine,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,30.1,30.1,,,27.3,33.1,,Age Group,50-64 years,Gender,Female,,,POINT (-68.98503133599962 45.254228894000505),C05,TMC03,Q27,,23,AGE,5064,GENDER,FEMALE,,,
BRFSS~2021~2021~10~Q03~TMC01~AGE~GENDER,2021,2021,DE,Delaware,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,12.4,12.4,,,10.3,14.8,,Age Group,Overall,Gender,Female,,,POINT (-75.57774116799965 39.008830667000495),C05,TMC01,Q03,,10,AGE,AGE_OVERALL,GENDER,FEMALE,,,
BRFSS~2019~2019~26~Q27~TMC03~AGE~GENDER,2019,2019,MI,Michigan,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,15.4,15.4,,,12.9,18.2,,Age Group,50-64 years,Gender,Male,,,POINT (-84.71439026999968 44.6613195430005),C05,TMC03,Q27,,26,AGE,5064,GENDER,MALE,,,
BRFSS~2020~2020~08~Q03~TMC01~AGE~OVERALL,2020,2020,CO,Colorado,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,11.3,11.3,,,10.1,12.8,,Age Group,50-64 years,,,,,POINT (-106.13361092099967 38.843840757000464),C05,TMC01,Q03,,8,AGE,5064,OVERALL,OVERALL,,,
BRFSS~2017~2017~9002~Q03~TMC01~AGE~RACE,2017,2017,MDW,Midwest,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,18.3,18.3,,,12.6,26,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,,,,C05,TMC01,Q03,,9002,AGE,5064,RACE,NAA,,,
BRFSS~2021~2021~9004~Q35~TOC03~AGE~RACE,2021,2021,WEST,West,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,,Number,MEAN,Mean,5.8,5.8,,,5.3,6.3,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",,,,C01,TOC03,Q35,,9004,AGE,5064,RACE,WHT,,,
BRFSS~2021~2021~66~Q43~TOC11~AGE~GENDER,2021,2021,GU,Guam,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,24.8,24.8,,,15.3,37.6,,Age Group,50-64 years,Gender,Female,,,POINT (144.793731 13.444304),C01,TOC11,Q43,,66,AGE,5064,GENDER,FEMALE,,,
BRFSS~2020~2020~9004~Q08~TOC01~AGE~GENDER,2020,2020,WEST,West,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),,Number,MEAN,Mean,4.3,4.3,,,3.8,4.9,,Age Group,50-64 years,Gender,Female,,,,C01,TOC01,Q08,,9004,AGE,5064,GENDER,FEMALE,,,
BRFSS~2017~2017~66~Q43~TOC11~AGE~RACE,2017,2017,GU,Guam,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,28.9,28.9,,,23.7,34.8,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,,,POINT (144.793731 13.444304),C01,TOC11,Q43,,66,AGE,AGE_OVERALL,RACE,ASN,,,
BRFSS~2020~2020~9004~Q03~TMC01~AGE~RACE,2020,2020,WEST,West,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,8.2,8.2,,,7,9.5,,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",,,,C05,TMC01,Q03,,9004,AGE,65PLUS,RACE,WHT,,,
BRFSS~2020~2020~29~Q34~TOC09~AGE~GENDER,2020,2020,MO,Missouri,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),,%,PRCTG,Percentage,73.6,73.6,,,70.8,76.3,,Age Group,65 years or older,Gender,Female,,,POINT (-92.56630005299968 38.635790776000476),C01,TOC09,Q34,,29,AGE,65PLUS,GENDER,FEMALE,,,
BRFSS~2016~2016~20~Q34~TOC09~AGE~GENDER,2016,2016,KS,Kansas,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),,%,PRCTG,Percentage,67.8,67.8,,,65.3,70.2,,Age Group,50-64 years,Gender,Female,,,POINT (-98.20078122699965 38.34774030000045),C01,TOC09,Q34,,20,AGE,5064,GENDER,FEMALE,,,
BRFSS~2019~2019~24~Q01~TNC01~AGE~OVERALL,2019,2019,MD,Maryland,BRFSS,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,,%,PRCTG,Percentage,38,38,,,36,40.1,,Age Group,50-64 years,,,,,POINT (-76.60926011099963 39.29058096400047),C02,TNC01,Q01,,24,AGE,5064,OVERALL,OVERALL,,,
BRFSS~2020~2020~55~Q43~TOC11~AGE~OVERALL,2020,2020,WI,Wisconsin,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,33.4,33.4,,,30.2,36.8,,Age Group,50-64 years,,,,,POINT (-89.81637074199966 44.39319117400049),C01,TOC11,Q43,,55,AGE,5064,OVERALL,OVERALL,,,
BRFSS~2020~2020~9004~Q13~TNC04~AGE~GENDER,2020,2020,WEST,West,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",,%,PRCTG,Percentage,34.2,34.2,,,31.3,37.2,,Age Group,50-64 years,Gender,Male,,,,C02,TNC04,Q13,,9004,AGE,5064,GENDER,MALE,,,
BRFSS~2020~2020~12~Q27~TMC03~AGE~OVERALL,2020,2020,FL,Florida,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,12.6,12.6,,,11,14.3,,Age Group,65 years or older,,,,,POINT (-81.92896053899966 28.932040377000476),C05,TMC03,Q27,,12,AGE,65PLUS,OVERALL,OVERALL,,,
BRFSS~2015~2015~19~Q43~TOC11~AGE~OVERALL,2015,2015,IA,Iowa,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,52.3,52.3,,,49.7,54.8,,Age Group,65 years or older,,,,,POINT (-93.81649055599968 42.46940091300047),C01,TOC11,Q43,,19,AGE,65PLUS,OVERALL,OVERALL,,,
BRFSS~2019~2019~19~Q03~TMC01~AGE~OVERALL,2019,2019,IA,Iowa,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,11.3,11.3,,,10,12.8,,Age Group,50-64 years,,,,,POINT (-93.81649055599968 42.46940091300047),C05,TMC01,Q03,,19,AGE,5064,OVERALL,OVERALL,,,
BRFSS~2015~2015~08~Q43~TOC11~AGE~GENDER,2015,2015,CO,Colorado,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,29.1,29.1,,,26.3,32.1,,Age Group,50-64 years,Gender,Male,,,POINT (-106.13361092099967 38.843840757000464),C01,TOC11,Q43,,8,AGE,5064,GENDER,MALE,,,
BRFSS~2020~2020~48~Q34~TOC09~AGE~GENDER,2020,2020,TX,Texas,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),,%,PRCTG,Percentage,66.2,66.2,,,61.4,70.8,,Age Group,50-64 years,Gender,Male,,,POINT (-99.42677020599967 31.827240407000488),C01,TOC09,Q34,,48,AGE,5064,GENDER,MALE,,,
BRFSS~2020~2020~20~Q27~TMC03~AGE~GENDER,2020,2020,KS,Kansas,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,11,11,,,9.6,12.6,,Age Group,Overall,Gender,Male,,,POINT (-98.20078122699965 38.34774030000045),C05,TMC03,Q27,,20,AGE,AGE_OVERALL,GENDER,MALE,,,
BRFSS~2018~2018~10~Q27~TMC03~AGE~OVERALL,2018,2018,DE,Delaware,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,18.5,18.5,,,16.2,21.1,,Age Group,50-64 years,,,,,POINT (-75.57774116799965 39.008830667000495),C05,TMC03,Q27,,10,AGE,5064,OVERALL,OVERALL,,,
BRFSS~2021~2021~51~Q03~TMC01~AGE~OVERALL,2021,2021,VA,Virginia,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,10.7,10.7,,,9.5,11.9,,Age Group,Overall,,,,,POINT (-78.45789046299967 37.54268067400045),C05,TMC01,Q03,,51,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
BRFSS~2020~2020~20~Q03~TMC01~AGE~GENDER,2020,2020,KS,Kansas,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,7.9,7.9,,,6.7,9.4,,Age Group,Overall,Gender,Male,,,POINT (-98.20078122699965 38.34774030000045),C05,TMC01,Q03,,20,AGE,AGE_OVERALL,GENDER,MALE,,,
BRFSS~2020~2020~9002~Q35~TOC03~AGE~GENDER,2020,2020,MDW,Midwest,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,,Number,MEAN,Mean,6.5,6.5,,,5.9,7.1,,Age Group,50-64 years,Gender,Male,,,,C01,TOC03,Q35,,9002,AGE,5064,GENDER,MALE,,,
BRFSS~2020~2020~19~Q34~TOC09~AGE~GENDER,2020,2020,IA,Iowa,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),,%,PRCTG,Percentage,76.8,76.8,,,74.2,79.1,,Age Group,65 years or older,Gender,Female,,,POINT (-93.81649055599968 42.46940091300047),C01,TOC09,Q34,,19,AGE,65PLUS,GENDER,FEMALE,,,
BRFSS~2019~2019~66~Q27~TMC03~AGE~GENDER,2019,2019,GU,Guam,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,11,11,,,6.7,17.7,,Age Group,50-64 years,Gender,Female,,,POINT (144.793731 13.444304),C05,TMC03,Q27,,66,AGE,5064,GENDER,FEMALE,,,
BRFSS~2020~2020~28~Q43~TOC11~AGE~OVERALL,2020,2020,MS,Mississippi,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,55,55,,,52.5,57.5,,Age Group,65 years or older,,,,,POINT (-89.53803082499968 32.745510099000455),C01,TOC11,Q43,,28,AGE,65PLUS,OVERALL,OVERALL,,,
BRFSS~2016~2016~19~Q34~TOC09~AGE~OVERALL,2016,2016,IA,Iowa,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),,%,PRCTG,Percentage,80.2,80.2,,,78.4,82,,Age Group,65 years or older,,,,,POINT (-93.81649055599968 42.46940091300047),C01,TOC09,Q34,,19,AGE,65PLUS,OVERALL,OVERALL,,,
BRFSS~2015~2015~21~Q43~TOC11~AGE~OVERALL,2015,2015,KY,Kentucky,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,50.4,50.4,,,48.3,52.4,,Age Group,Overall,,,,,POINT (-84.77497104799966 37.645970271000465),C01,TOC11,Q43,,21,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
BRFSS~2015~2015~22~Q03~TMC01~AGE~GENDER,2015,2015,LA,Louisiana,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,13.4,13.4,,,10.1,17.5,,Age Group,50-64 years,Gender,Male,,,POINT (-92.44568007099969 31.31266064400046),C05,TMC01,Q03,,22,AGE,5064,GENDER,MALE,,,
BRFSS~2021~2021~50~Q43~TOC11~AGE~RACE,2021,2021,VT,Vermont,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,45.7,45.7,,,43.6,47.8,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",,,POINT (-72.51764079099962 43.62538123900049),C01,TOC11,Q43,,50,AGE,AGE_OVERALL,RACE,WHT,,,
BRFSS~2021~2021~9001~Q18~TSC08~AGE~GENDER,2021,2021,NRE,Northeast,BRFSS,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,,%,PRCTG,Percentage,50.9,50.9,,,49.2,52.5,,Age Group,50-64 years,Gender,Male,,,,C03,TSC08,Q18,,9001,AGE,5064,GENDER,MALE,,,
BRFSS~2020~2020~9001~Q43~TOC11~AGE~RACE,2020,2020,NRE,Northeast,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,31.7,31.7,,,30.5,32.9,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",,,,C01,TOC11,Q43,,9001,AGE,5064,RACE,WHT,,,
BRFSS~2021~2021~9004~Q18~TSC08~AGE~GENDER,2021,2021,WEST,West,BRFSS,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,,%,PRCTG,Percentage,52.1,52.1,,,49.5,54.7,,Age Group,50-64 years,Gender,Female,,,,C03,TSC08,Q18,,9004,AGE,5064,GENDER,FEMALE,,,
BRFSS~2020~2020~9004~Q35~TOC03~AGE~OVERALL,2020,2020,WEST,West,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,,Number,MEAN,Mean,6.3,6.3,,,5.7,6.8,,Age Group,Overall,,,,,,C01,TOC03,Q35,,9004,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
BRFSS~2020~2020~32~Q35~TOC03~AGE~GENDER,2020,2020,NV,Nevada,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,,Number,MEAN,Mean,6.6,6.6,,,4.8,8.3,,Age Group,Overall,Gender,Male,,,POINT (-117.07184056399967 39.493240390000494),C01,TOC03,Q35,,32,AGE,AGE_OVERALL,GENDER,MALE,,,
BRFSS~2016~2016~16~Q27~TMC03~AGE~GENDER,2016,2016,ID,Idaho,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,9.5,9.5,,,7.7,11.7,,Age Group,Overall,Gender,Male,,,POINT (-114.3637300419997 43.682630005000476),C05,TMC03,Q27,,16,AGE,AGE_OVERALL,GENDER,MALE,,,
BRFSS~2017~2017~02~Q27~TMC03~AGE~OVERALL,2017,2017,AK,Alaska,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,18.1,18.1,,,14.9,21.8,,Age Group,50-64 years,,,,,POINT (-147.72205903599973 64.84507995700051),C05,TMC03,Q27,,2,AGE,5064,OVERALL,OVERALL,,,
BRFSS~2021~2021~53~Q43~TOC11~AGE~OVERALL,2021,2021,WA,Washington,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,35.2,35.2,,,33.2,37.3,,Age Group,50-64 years,,,,,POINT (-120.47001078999972 47.52227862900048),C01,TOC11,Q43,,53,AGE,5064,OVERALL,OVERALL,,,
BRFSS~2020~2020~34~Q43~TOC11~AGE~GENDER,2020,2020,NJ,New Jersey,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,29.5,29.5,,,26.9,32.3,,Age Group,50-64 years,Gender,Female,,,POINT (-74.27369128799967 40.13057004800049),C01,TOC11,Q43,,34,AGE,5064,GENDER,FEMALE,,,
